strategy_id,ticker,operational,generative,total,currently_dominated,generatively_valuable
DIA__momentum_20__always__h20__unit__horizon__notional_cap_1,DIA,0.0,0.0,0.0,true,false
EEM__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,EEM,0.0,0.0,0.0,true,false
EFA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,EFA,0.0,0.0,0.0,true,false
EMB__momentum_20__trend_100__h20__unit__horizon__vol_target_10,EMB,0.0,0.0,0.0,true,false
EWZ__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,EWZ,0.0,0.0,0.0,true,false
FXE__momentum_60__always__h20__unit__signal_flip__vol_target_10,FXE,0.0,0.0,0.0,true,false
FXI__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,FXI,0.0,0.0,0.0,true,false
GDX__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,GDX,0.0,0.0,0.0,true,false
GLD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,GLD,0.0,0.0015556990504919932,0.0015556990504919932,true,true
HYG__momentum_20__always__h20__unit__horizon__notional_cap_1,HYG,0.0,0.0,0.0,true,false
IEF__momentum_60__trend_100__h20__unit__horizon__vol_target_10,IEF,0.00347299266231596,0.0,0.00347299266231596,false,false
IWM__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,IWM,0.0,0.0,0.0,true,false
IYR__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,IYR,0.0,0.0,0.0,true,false
KRE__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,KRE,0.0,0.0,0.0,true,false
LQD__momentum_60__trend_100__h20__unit__horizon__vol_target_10,LQD,0.0,0.0,0.0,true,false
QQQ__momentum_60__always__h20__unit__horizon__notional_cap_1,QQQ,0.06340382002244713,0.0,0.06340382002244713,false,false
SHY__momentum_20__always__h20__half__horizon__vol_target_10,SHY,0.0,0.0,0.0,true,false
SLV__momentum_20__trend_100__h5__unit__horizon__notional_cap_1,SLV,0.0,0.0,0.0,true,false
SPY__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,SPY,0.0,0.0,0.0,true,false
TLT__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,TLT,0.0,0.0,0.0,true,false
UNG__mean_reversion_5__trend_100__h5__unit__signal_flip__vol_target_10,UNG,0.0,0.0,0.0,true,false
USO__momentum_60__always__h5__half__signal_flip__notional_cap_1,USO,0.0,0.0,0.0,true,false
UUP__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,UUP,0.0,0.0,0.0,true,false
XLE__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,XLE,0.0,0.0,0.0,true,false
XLF__momentum_60__always__h20__unit__signal_flip__notional_cap_1,XLF,0.022084676710773493,0.0,0.022084676710773493,false,false
