trial_id,breakpoint_index,lambda,strictly_positive,optimal_net_value,optimal_masks,optimal_library_ids,optimal_burdens,optimizer_count,pairwise_candidates_checked,enumeration_certificate
1,1,0//1,false,256843//12288,27;31,base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;10//1,2,287,complete-enumeration:32
1,2,25175//32768,true,90659//6144,26;27,base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive,6//1;8//1,2,287,complete-enumeration:32
1,3,55385//49152,true,619537//49152,24;26,closure_carrier;frontier_addition;inactive|base_2;closure_carrier;frontier_addition;inactive,4//1;6//1,2,287,complete-enumeration:32
1,4,124277//49152,true,343969//49152,18;24,base_2;frontier_addition;inactive|closure_carrier;frontier_addition;inactive,3//1;4//1,2,287,complete-enumeration:32
1,5,175//64,true,1225//192,16;18,frontier_addition;inactive|base_2;frontier_addition;inactive,1//1;3//1,2,287,complete-enumeration:32
1,6,875//96,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,287,complete-enumeration:32
2,1,0//1,false,49601//4096,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,139,complete-enumeration:32
2,2,403//24576,true,295591//24576,17;25,base_1;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,3//1;5//1,2,139,complete-enumeration:32
2,3,175//192,true,7175//768,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,139,complete-enumeration:32
2,4,2625//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,139,complete-enumeration:32
3,1,0//1,false,9283//768,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;11//1;15//1,4,154,complete-enumeration:32
3,2,61//512,true,17285//1536,17;25,base_1;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,5//1;7//1,2,154,complete-enumeration:32
3,3,175//384,true,1225//128,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;5//1,2,154,complete-enumeration:32
3,4,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,154,complete-enumeration:32
4,1,0//1,false,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;8//1;9//1;12//1;13//1;16//1,8,125,complete-enumeration:32
4,2,525//1024,true,29225//3072,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;5//1,2,125,complete-enumeration:32
4,3,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,125,complete-enumeration:32
5,1,0//1,false,4725//256,21;23;29;31,base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,4,211,complete-enumeration:32
5,2,875//512,true,5075//512,20;21,base_3;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive,3//1;5//1,2,211,complete-enumeration:32
5,3,4375//1536,true,3325//512,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;3//1,2,211,complete-enumeration:32
5,4,7175//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,211,complete-enumeration:32
6,1,0//1,false,2275//128,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,132,complete-enumeration:32
6,2,875//512,true,4725//512,17;19,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive,3//1;5//1,2,132,complete-enumeration:32
6,3,175//64,true,1575//256,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,132,complete-enumeration:32
6,4,2275//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,132,complete-enumeration:32
7,1,0//1,false,2275//128,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,4,129,complete-enumeration:32
7,2,875//512,true,4725//512,18;20;22,base_2;frontier_addition;inactive|base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,3//1;5//1,3,129,complete-enumeration:32
7,3,2275//768,true,175//32,16;18;20,frontier_addition;inactive|base_2;frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;3//1,3,129,complete-enumeration:32
7,4,6475//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,129,complete-enumeration:32
8,1,0//1,false,8677//768,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,149,complete-enumeration:32
8,2,17//256,true,4211//384,17;25,base_1;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,3//1;5//1,2,149,complete-enumeration:32
8,3,175//384,true,7525//768,1;17,base_1;inactive|base_1;frontier_addition;inactive,2//1;3//1,2,149,complete-enumeration:32
8,4,875//768,true,6475//768,1;16,base_1;inactive|frontier_addition;inactive,1//1;2//1,2,149,complete-enumeration:32
8,5,1225//128,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,149,complete-enumeration:32
9,1,0//1,false,9625//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;6//1;7//1;8//1;10//1,8,94,complete-enumeration:32
9,2,175//192,true,7525//768,1;17,base_1;inactive|base_1;frontier_addition;inactive,2//1;3//1,2,94,complete-enumeration:32
9,3,1225//768,true,6475//768,1;16,base_1;inactive|frontier_addition;inactive,1//1;2//1,2,94,complete-enumeration:32
9,4,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,94,complete-enumeration:32
10,1,0//1,false,13825//768,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,304,complete-enumeration:32
10,2,875//512,true,14525//1536,18;22,base_2;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,3//1;5//1,2,304,complete-enumeration:32
10,3,175//64,true,1225//192,16;18,frontier_addition;inactive|base_2;frontier_addition;inactive,1//1;3//1,2,304,complete-enumeration:32
10,4,875//96,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,304,complete-enumeration:32
11,1,0//1,false,2420507//196608,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6//1;8//1;10//1,4,146,complete-enumeration:32
11,2,135707//589824,true,2149093//196608,17;25,base_1;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,3//1;6//1,2,146,complete-enumeration:32
11,3,875//1536,true,5075//512,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,146,complete-enumeration:32
11,4,4025//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,146,complete-enumeration:32
12,1,0//1,false,24753//2048,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;11//1;15//1,4,153,complete-enumeration:32
12,2,953//4096,true,42835//4096,17;25,base_1;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,5//1;7//1,2,153,complete-enumeration:32
12,3,525//1024,true,9275//1024,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;5//1,2,153,complete-enumeration:32
12,4,1225//128,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,153,complete-enumeration:32
13,1,0//1,false,1575//128,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;7//1;9//1,8,76,complete-enumeration:32
13,2,875//768,true,2275//256,1;16;17,base_1;inactive|frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;2//1;3//1,3,76,complete-enumeration:32
13,3,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,76,complete-enumeration:32
14,1,0//1,false,875//48,21;23;29;31,base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,230,complete-enumeration:32
14,2,175//96,true,875//96,20;21,base_3;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive,3//1;5//1,2,230,complete-enumeration:32
14,3,175//64,true,1225//192,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;3//1,2,230,complete-enumeration:32
14,4,875//96,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,230,complete-enumeration:32
15,1,0//1,false,1923//128,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6//1;8//1;10//1,4,156,complete-enumeration:32
15,2,5035//12288,true,25733//2048,9;24;25,base_1;closure_carrier;inactive|closure_carrier;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,4//1;5//1;6//1,3,156,complete-enumeration:32
15,3,9023//6144,true,17059//2048,16;24,frontier_addition;inactive|closure_carrier;frontier_addition;inactive,1//1;4//1,2,156,complete-enumeration:32
15,4,7525//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,156,complete-enumeration:32
16,1,0//1,false,14525//768,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,4,121,complete-enumeration:32
16,2,525//256,true,3325//384,18;20;22,base_2;frontier_addition;inactive|base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,3//1;5//1,3,121,complete-enumeration:32
16,3,2275//768,true,2275//384,16;18;20,frontier_addition;inactive|base_2;frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;3//1,3,121,complete-enumeration:32
16,4,2275//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,121,complete-enumeration:32
17,1,0//1,false,13927//768,29;31,base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,2,285,complete-enumeration:32
17,2,17//384,true,13519//768,21;29,base_1;base_3;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive,9//1;12//1,2,285,complete-enumeration:32
17,3,875//1024,true,31675//3072,20;21,base_3;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive,5//1;9//1,2,285,complete-enumeration:32
17,4,2275//1536,true,3675//512,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;5//1,2,285,complete-enumeration:32
17,5,3325//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,285,complete-enumeration:32
18,1,0//1,false,52077//4096,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,155,complete-enumeration:32
18,2,8425//16384,true,166183//16384,9;25,base_1;closure_carrier;inactive|base_1;closure_carrier;frontier_addition;inactive,4//1;5//1,2,155,complete-enumeration:32
18,3,9483//16384,true,161951//16384,9;17,base_1;closure_carrier;inactive|base_1;frontier_addition;inactive,3//1;4//1,2,155,complete-enumeration:32
18,4,175//256,true,1225//128,1;17,base_1;inactive|base_1;frontier_addition;inactive,2//1;3//1,2,155,complete-enumeration:32
18,5,175//192,true,875//96,1;16,base_1;inactive|frontier_addition;inactive,1//1;2//1,2,155,complete-enumeration:32
18,6,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,155,complete-enumeration:32
19,1,0//1,false,875//48,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,218,complete-enumeration:32
19,2,875//512,true,14875//1536,17;19,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive,3//1;5//1,2,218,complete-enumeration:32
19,3,1575//512,true,8575//1536,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,218,complete-enumeration:32
19,4,3325//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,218,complete-enumeration:32
20,1,0//1,false,60751//3072,27;31,base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,2,277,complete-enumeration:32
20,2,1117//3072,true,47347//3072,19;27,base_1;base_2;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive,9//1;12//1,2,277,complete-enumeration:32
20,3,74477//122880,true,1625707//122880,19;24,base_1;base_2;frontier_addition;inactive|closure_carrier;frontier_addition;inactive,4//1;9//1,2,277,complete-enumeration:32
20,4,49841//24576,true,185359//24576,16;24,frontier_addition;inactive|closure_carrier;frontier_addition;inactive,1//1;4//1,2,277,complete-enumeration:32
